artist,firstName,gender,itemInSession,lastName,length,level,location,method,page,registration,sessionId,song,status,ts,userId
Jason Mraz & Colbie Caillat,Kevin,M,0,Arellano,189.6224,free,"Harrisburg-Carlisle, PA",PUT,NextSong,1540010000000.0,187,Lucky (Album Version),200,1541140000000.0,66
Liz Callaway,Lily,F,0,Koch,175.43791000000002,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Journey To The Past  (LP Version),200,1541150000000.0,15
The Decemberists,Lily,F,1,Koch,242.59873,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Everything I Try to Do_ Nothing Seems to Turn Out Right,200,1541150000000.0,15
Christina Aguilera,Lily,F,2,Koch,254.48443999999998,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Impossible,200,1541150000000.0,15
OneRepublic,Lily,F,3,Koch,224.67872999999997,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Secrets,200,1541150000000.0,15
Cat Stevens,Kynnedi,F,1,Sanchez,200.202,free,"Cedar Rapids, IA",PUT,NextSong,1541080000000.0,88,Wild World,200,1541150000000.0,89
Brett Dennen,Lily,F,4,Koch,179.66975,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,World Keeps Turning,200,1541150000000.0,15
Godsmack,Lily,F,5,Koch,208.24771,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Greed,200,1541150000000.0,15
Anis,Lily,F,6,Koch,246.59546,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Swing Javanaise,200,1541150000000.0,15
Tiziano Ferro,Lily,F,7,Koch,251.42812,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Ed Ero Contentissimo,200,1541150000000.0,15
Kylie Auldist,Lily,F,8,Koch,265.92607999999996,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Ship Inside A Bottle,200,1541150000000.0,15
Benga,Lily,F,9,Koch,286.17098,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,The Cut,200,1541150000000.0,15
T. Rex,Lily,F,10,Koch,132.85832,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Ride A White Swan,200,1541150000000.0,15
Mexican Institute of Sound,Lily,F,11,Koch,278.04689,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Mirando a Las Muchachas,200,1541150000000.0,15
Velour 100,Lily,F,12,Koch,202.29179,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Clouds (Of Color Bright Album Version),200,1541150000000.0,15
Maria de Barros,Lily,F,13,Koch,276.29669,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Riberonzinha,200,1541150000000.0,15
Toby Keith,Lily,F,14,Koch,177.162,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Big Blue Note,200,1541150000000.0,15
Marques Houston,Lily,F,15,Koch,264.98567,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Naked,200,1541150000000.0,15
Commit Suicide,Lily,F,16,Koch,105.48200000000001,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,In All This Revelation,200,1541150000000.0,15
Smile Empty Soul,Lily,F,17,Koch,218.61832,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Bottom of a Bottle (Explicit Album Version),200,1541150000000.0,15
Amy Winehouse,Lily,F,18,Koch,221.1522,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Wake Up Alone,200,1541150000000.0,15
Eyehategod,Lily,F,19,Koch,155.66322,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Sisterfucker (part Ii),200,1541150000000.0,15
Sunidhi Chauhan / Anu Malik / Jatin Sharma,Lily,F,20,Koch,319.32036,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Dekh Le,200,1541150000000.0,15
Blondie,Lily,F,21,Koch,127.73832,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Little Girl Lies (2001 Digital Remaster),200,1541150000000.0,15
She & Him,Lily,F,23,Koch,167.83628000000002,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Got Me,200,1541150000000.0,15
The Black Keys,Lily,F,24,Koch,294.76526,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,The Lengths,200,1541150000000.0,15
Survivor,Lily,F,25,Koch,245.36771000000002,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Eye Of The Tiger,200,1541150000000.0,15
Conya Doss,Lily,F,26,Koch,317.98812000000004,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,I Miss You,200,1541150000000.0,15
Disney Studio Chorus,Lily,F,28,Koch,234.84036,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Little April Shower,200,1541160000000.0,15
Dirty Projectors,Lily,F,29,Koch,319.63383,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Stillness Is The Move,200,1541160000000.0,15
Boom Bip,Lily,F,30,Koch,330.16118,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,From Left To Right,200,1541160000000.0,15
Avantasia,Lily,F,31,Koch,368.97914,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Shelter From The Rain,200,1541160000000.0,15
Amon Amarth,Lily,F,32,Koch,312.29342,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,North Sea Storm (Live),200,1541160000000.0,15
Young Money featuring Lloyd,Lily,F,33,Koch,196.33587,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,BedRock (Radio Edit) (feat.Lloyd),200,1541160000000.0,15
Breakbeat Era,Lily,F,34,Koch,326.32117999999997,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Anti-Everything,200,1541160000000.0,15
Local Natives,Lily,F,35,Koch,237.92281,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Airplanes,200,1541160000000.0,15
Gabriella Cilmi,Lily,F,36,Koch,207.38567,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Awkward Game,200,1541160000000.0,15
Minus The Bear,Tegan,F,1,Levine,219.76771000000002,free,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,165,Knights,200,1541160000000.0,80
Calle 13 Featuring CafÃÂ© Tacuba,Lily,F,37,Koch,293.32853,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,No Hay Nadie Como TÃÂº,200,1541160000000.0,15
Frumpies,Aleena,F,0,Kirby,134.47791,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,157,Fuck Kitty,200,1541160000000.0,44
D-12,Aleena,F,1,Kirby,261.40689,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,157,Barbershop,200,1541160000000.0,44
Emil Gilels/Orchestre de la SociÃÂ©tÃÂ© des Concerts du Conservatoire/AndrÃÂ© Cluytens,Tegan,F,2,Levine,375.19628,free,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,165,Piano Concerto No. 2 in G minor Op. 22 (2006 Digital Remaster): III.  Presto,200,1541160000000.0,80
Dragonette,Lily,F,38,Koch,246.49097999999998,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Fixin to Thrill,200,1541160000000.0,15
Pennywise,Mohammad,M,0,Rodriguez,188.26404,free,"Sacramento--Roseville--Arden-Arcade, CA",PUT,NextSong,1540510000000.0,87,The Western World,200,1541160000000.0,88
Kanye West,Aleena,F,2,Kirby,238.52362999999997,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,157,Flashing Lights,200,1541160000000.0,44
Flash And The Pan,Lily,F,39,Koch,224.65261,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Waiting for a Train [Single Mix],200,1541160000000.0,15
Washed Out,Tegan,F,3,Levine,168.6722,free,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,165,New Theory,200,1541160000000.0,80
Katy Perry,Aleena,F,3,Kirby,179.40853,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,157,I Kissed A Girl,200,1541160000000.0,44
AFI,Lily,F,40,Koch,198.97423999999998,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Miss Murder,200,1541160000000.0,15
Drake / Kanye West / Lil Wayne / Eminem,Aleena,F,4,Kirby,357.66812000000004,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,157,Forever,200,1541160000000.0,44
The Crests,Lily,F,41,Koch,182.88281,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,16 Candles,200,1541160000000.0,15
Nirvana,Lily,F,42,Koch,219.08853,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Come As You Are,200,1541160000000.0,15
Knights Of The Abyss,Aleena,F,5,Kirby,205.66159,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,157,Dragon Pie,200,1541160000000.0,44
Binary Star,Lily,F,43,Koch,300.19872999999995,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Honest Expression,200,1541160000000.0,15
Nada Surf,Aleena,F,6,Kirby,181.08036,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,157,Whose Authority,200,1541160000000.0,44
Blank & Jones,Aleena,F,7,Kirby,310.15137999999996,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,157,Beyond Time (Ambient Mix),200,1541160000000.0,44
Carnifex,Lily,F,44,Koch,219.89832,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,By Darkness Enslaved,200,1541160000000.0,15
Bono / Secret Machines,Lily,F,45,Koch,285.43955,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,I Am The Walrus,200,1541160000000.0,15
Broadcast 2000,Aleena,F,8,Kirby,198.84363000000002,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,157,The View,200,1541160000000.0,44
Pixies,Aleena,F,9,Kirby,229.3024,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,157,Where Is My Mind?,200,1541160000000.0,44
Kings Of Leon,Lily,F,46,Koch,242.99057000000002,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Holy Roller Novocaine,200,1541160000000.0,15
Arctic Monkeys,Aleena,F,10,Kirby,221.85751000000002,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,157,You Know I'm No Good,200,1541160000000.0,44
Alliance Ethnik,Lily,F,47,Koch,252.21178999999998,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,ReprÃÂ©sente,200,1541160000000.0,15
Apocalyptica,Chloe,F,0,Cuevas,409.86077,free,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,179,Coma,200,1541160000000.0,49
Big Tymers,Aleena,F,11,Kirby,256.15628,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,157,Lil Mama,200,1541160000000.0,44
Pat Green,Lily,F,48,Koch,295.33995,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Whiskey,200,1541160000000.0,15
Daughtry,Aleena,F,12,Kirby,249.91302000000002,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,157,No Surprise,200,1541160000000.0,44
Air,Chloe,F,1,Cuevas,212.21832,free,"San Francisco-Oakland-Hayward, CA",PUT,NextSong,1540940000000.0,179,Playground Love,200,1541160000000.0,49
Sam Cooke,Lily,F,49,Koch,122.04363000000001,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Ain't Misbehavin,200,1541160000000.0,15
Live,Aleena,F,13,Kirby,203.28444,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,157,Deep Enough,200,1541160000000.0,44
Everclear,Lily,F,50,Koch,222.61506,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Summerland,200,1541160000000.0,15
Alison Krauss / Union Station,Aleena,F,14,Kirby,129.67138,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,157,Down To The River To Pray,200,1541160000000.0,44
The All-American Rejects,Lily,F,51,Koch,239.22893,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Move Along,200,1541160000000.0,15
Covenant,Aleena,F,15,Kirby,300.19872999999995,paid,"Waterloo-Cedar Falls, IA",PUT,NextSong,1541020000000.0,157,XRDS,200,1541160000000.0,44
You Me At Six,Aiden,M,0,Hess,191.13751000000002,free,"La Crosse-Onalaska, WI-MN",PUT,NextSong,1540830000000.0,189,Liquid Confidence,200,1541160000000.0,86
Motion City Soundtrack,Lily,F,52,Koch,206.34077,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Everything Is Alright (Album Version),200,1541160000000.0,15
FM Static,Lily,F,53,Koch,169.84771,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Something To Believe In,200,1541160000000.0,15
Dave Gahan,Lily,F,54,Koch,272.92689,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Kingdom,200,1541160000000.0,15
Metallica,Lily,F,55,Koch,319.73832000000004,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Mama Said,200,1541160000000.0,15
Dr. Hook,Lily,F,56,Koch,229.77261000000001,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Sylvia's Mother,200,1541160000000.0,15
Gotan Project,Lily,F,57,Koch,321.30567,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Diferente,200,1541160000000.0,15
Carrie Underwood,Lily,F,58,Koch,221.3873,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Play On,200,1541160000000.0,15
Ut,Lily,F,59,Koch,313.86077,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,I.D.,200,1541160000000.0,15
Lil Wayne / Eminem,Lily,F,60,Koch,229.58975,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Drop The World,200,1541160000000.0,15
Damage,Lily,F,61,Koch,263.18322,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,For Your Pleasure,200,1541160000000.0,15
Rionegro / SolimÃÂµes,Lily,F,62,Koch,280.92036,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,De SÃÂ£o Paulo ÃÂ BelÃÂ©m,200,1541160000000.0,15
Drive-By Truckers,Lily,F,63,Koch,246.22975,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Outfit,200,1541160000000.0,15
Tweet,Lily,F,64,Koch,256.39137999999997,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Smoking Cigarettes (LP Version),200,1541160000000.0,15
Ben Folds Five,Lily,F,65,Koch,207.882,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Steven's Last Night In Town,200,1541160000000.0,15
Glen Hansard,Lily,F,66,Koch,239.59465,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Lies,200,1541160000000.0,15
Chevelle,Adler,M,0,Barrera,389.85098,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1540840000000.0,174,Dos (LP Version),200,1541160000000.0,100
Bill Withers,Lily,F,67,Koch,383.73832000000004,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Make Love To Your Mind,200,1541160000000.0,15
Jorge Drexler,Adler,M,1,Barrera,272.14322000000004,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1540840000000.0,174,Salvapantallas,200,1541170000000.0,100
Michael Bolton,Lily,F,68,Koch,255.65995,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,How Am I Supposed To Live Without You,200,1541170000000.0,15
The Mercury Program,Adler,M,2,Barrera,449.12280999999996,free,"New York-Newark-Jersey City, NY-NJ-PA",PUT,NextSong,1540840000000.0,174,Marianas,200,1541170000000.0,100
Duran Duran,Lily,F,69,Koch,321.88036,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,The Seventh Stranger,200,1541170000000.0,15
Little Boots,Lily,F,70,Koch,195.94404,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Meddle,200,1541170000000.0,15
Johnossi,Lily,F,71,Koch,174.2624,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Glory Days To Come,200,1541170000000.0,15
BjÃÂ¶rk,Lily,F,72,Koch,348.57751,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Undo,200,1541170000000.0,15
Black Eyed Peas,Lily,F,73,Koch,226.37669,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Hey Mama,200,1541170000000.0,15
DecembeRadio,Lily,F,74,Koch,249.62567,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,Find You Waiting,200,1541170000000.0,15
Bonobo,Lily,F,75,Koch,270.41913999999997,paid,"Chicago-Naperville-Elgin, IL-IN-WI",PUT,NextSong,1541050000000.0,172,1009,200,1541170000000.0,15
Five Iron Frenzy,Tegan,F,1,Levine,236.09423999999999,free,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,194,Canada,200,1541170000000.0,80
Morcheeba,Tegan,F,2,Levine,347.71546,free,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,194,The Sea,200,1541170000000.0,80
The Avett Brothers,Tegan,F,3,Levine,307.9571,free,"Portland-South Portland, ME",PUT,NextSong,1540790000000.0,194,All My Mistakes (US4BW0700133),200,1541170000000.0,80
Dave Darell,Aiden,M,0,Hess,217.33832,free,"La Crosse-Onalaska, WI-MN",PUT,NextSong,1540830000000.0,197,Children,200,1541170000000.0,86
Priestess,Ryan,M,1,Smith,190.45832,free,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1541020000000.0,183,Talk To Her,200,1541170000000.0,26
Arcade Fire,Ryan,M,2,Smith,169.19465,free,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1541020000000.0,183,I'm Sleeping In A Submarine,200,1541170000000.0,26
Daft Punk,Ryan,M,3,Smith,211.69587,free,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1541020000000.0,183,Crescendolls,200,1541170000000.0,26
Nickel Creek,Ryan,M,4,Smith,255.13751000000002,free,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1541020000000.0,183,When In Rome,200,1541170000000.0,26
Squeeze,Ryan,M,5,Smith,229.56363,free,"San Jose-Sunnyvale-Santa Clara, CA",PUT,NextSong,1541020000000.0,183,Footprints,200,1541170000000.0,26
Creedence Clearwater Revival,Samuel,M,0,Gonzalez,175.80363,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1540490000000.0,60,Sweet Hitch-Hiker,200,1541170000000.0,61
Kierra Sheard,Samuel,M,1,Gonzalez,299.02322000000004,free,"Houston-The Woodlands-Sugar Land, TX",PUT,NextSong,1540490000000.0,60,Love Like Crazy (Extended Mix),200,1541170000000.0,61
Greg Laswell,Mohammad,M,1,Rodriguez,251.08853,free,"Sacramento--Roseville--Arden-Arcade, CA",PUT,NextSong,1540510000000.0,193,Comes And Goes ( In Waves ),200,1541170000000.0,88
Pavement,Mohammad,M,3,Rodriguez,99.16036,free,"Sacramento--Roseville--Arden-Arcade, CA",PUT,NextSong,1540510000000.0,193,Mercy:The Laundromat,200,1541180000000.0,88
Sixx A.M.,Mohammad,M,4,Rodriguez,280.58077000000003,free,"Sacramento--Roseville--Arden-Arcade, CA",PUT,NextSong,1540510000000.0,193,Courtesy Call (Explicit),200,1541180000000.0,88
Leonard Cohen,Mohammad,M,5,Rodriguez,267.67627999999996,free,"Sacramento--Roseville--Arden-Arcade, CA",PUT,NextSong,1540510000000.0,193,I'm Your Man,200,1541180000000.0,88
The Tallest Man On Earth,Joseph,M,0,Gutierrez,203.62403999999998,free,"Columbia, SC",PUT,NextSong,1540810000000.0,167,The Wild Hunt,200,1541180000000.0,75
My Chemical Romance,Joseph,M,1,Gutierrez,161.90649,free,"Columbia, SC",PUT,NextSong,1540810000000.0,167,Teenagers (Album Version),200,1541180000000.0,75
Wendy Rene,Joseph,M,2,Gutierrez,182.46485,free,"Columbia, SC",PUT,NextSong,1540810000000.0,167,After Laughter (Comes Tears) (LP Version),200,1541180000000.0,75
Jack Johnson / Paula Fuga,Joseph,M,3,Gutierrez,178.33751,free,"Columbia, SC",PUT,NextSong,1540810000000.0,167,Country Road,200,1541180000000.0,75
Tub Ring,Joseph,M,4,Gutierrez,233.69097999999997,free,"Columbia, SC",PUT,NextSong,1540810000000.0,167,Invalid,200,1541180000000.0,75
No Doubt,Mohammad,M,0,Rodriguez,44.93016,free,"Sacramento--Roseville--Arden-Arcade, CA",PUT,NextSong,1540510000000.0,205,BND,200,1541180000000.0,88
Katy Perry,Mohammad,M,1,Rodriguez,179.40853,free,"Sacramento--Roseville--Arden-Arcade, CA",PUT,NextSong,1540510000000.0,205,I Kissed A Girl,200,1541180000000.0,88
Neutral Milk Hotel,Joseph,M,5,Gutierrez,248.37179,free,"Columbia, SC",PUT,NextSong,1540810000000.0,167,Ghost,200,1541180000000.0,75
Dwight Yoakam,Ava,F,0,Robinson,239.3073,free,"New Haven-Milford, CT",PUT,NextSong,1540930000000.0,156,You're The One,200,1541180000000.0,50
Ella Fitzgerald,Joseph,M,6,Gutierrez,427.15382999999997,free,"Columbia, SC",PUT,NextSong,1540810000000.0,167,On Green Dolphin Street (Medley) (1999 Digital Remaster),200,1541180000000.0,75
Tony Rohr,Ava,F,1,Robinson,403.09506,free,"New Haven-Milford, CT",PUT,NextSong,1540930000000.0,156,Van Comp,200,1541180000000.0,50
Braid,Joseph,M,7,Gutierrez,222.74567000000002,free,"Columbia, SC",PUT,NextSong,1540810000000.0,167,Divers,200,1541180000000.0,75
Fourmost,Joseph,M,8,Gutierrez,113.6322,free,"Columbia, SC",PUT,NextSong,1540810000000.0,167,Hello Little Girl,200,1541180000000.0,75
Catupecu Machu,Joseph,M,9,Gutierrez,212.32281,free,"Columbia, SC",PUT,NextSong,1540810000000.0,167,Hormigas,200,1541180000000.0,75
Creed,Joseph,M,10,Gutierrez,329.87383,free,"Columbia, SC",PUT,NextSong,1540810000000.0,167,Weathered,200,1541180000000.0,75
Ennio Morricone,Joseph,M,11,Gutierrez,215.01342000000002,free,"Columbia, SC",PUT,NextSong,1540810000000.0,167,Chi Mai (El Profesional),200,1541180000000.0,75
